;id;name;n_papers_risc_2011;n_papers_risc_2012;n_papers_risc_2013;n_papers_risc_2014;n_papers_risc_2015;n_papers_risc_2016;n_papers_risc_2017;n_papers_risc_2018;n_papers_risc_2019;n_papers_risc_2020
0;75402;Advanced Engineering Research;247;215;85;86;59;79;68;52;49;51
1;38061;ArcReview;;1;2;;;;;;;
2;51022;Cloud of Science;;;39;42;39;32;39;43;50;64
3;73724;Connect. Мир информационных технологий;;2;;;;;;1;;
4;58830;Continuum. Математика. Информатика. Образование;;;;;;69;52;72;45;56
5;55120;European Journal of Computer Science;;;;;6;5;5;4;;
6;70155;Format. Информационные технологии;;;;;;;;;;
7;68644;I-methods;6;6;12;24;32;26;18;23;22;22
8;67726;İnformasiya texnologiyaları problemləri;;;;;;;1;;3;1
9;53395;Information Management;;;;1;;;;;;
10;70980;International Journal of Computer Network and Information Security;;;;;;;;;;
11;67522;Jet Info;;;;;;;;;;
12;74871;Scientific Journal of Astana IT University;;;;;;;;;;
13;70323;Systems and Management;;;;;;;;;;
14;67611;Ukrainian Journal of Educational Studies and Information Technology;;;;;;;1;;;
15;32631;XXI век: итоги прошлого и проблемы настоящего плюс;107;158;397;345;466;184;92;108;176;137
16;70093;Автоматизация и моделирование в проектировании и управлении;;;;;;;;12;27;27
17;31879;Автоматика. Информатика;26;18;40;16;1;39;42;42;31;34
18;7310;Библиосфера;63;89;73;67;61;61;71;57;45;38
19;57829;Библиотеки вузов: информационный бюллетень;2;2;1;1;1;1;2;1;;1
20;9510;Библиотеки учебных заведений;1;;;;;;;;;
21;30082;Библиотечные фонды: проблемы и решения;;;;;;;;;;
22;27958;Бизнес-информатика;33;39;37;31;31;32;29;25;25;25
23;64055;БИТ. Бизнес & Информационные технологии;;;;;;93;80;79;90;29
24;28165;Вестник Астраханского государственного технического университета. Серия: Управление, вычислительная техника и информатика;62;59;51;61;59;50;51;49;49;45
#25;66771;Вестник Брестского государственного технического университета. Физика, математика, информатика;30;19;19;19;24;19;23;22;;
26;53736;Вестник Бурятского государственного университета. Математика, информатика;;27;26;21;34;41;38;31;31;18
27;69542;Вестник ВНИИДАД;;;;;;;;24;59;54
28;25693;Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии;61;60;58;68;79;81;84;74;59;50
29;10206;Вестник Дальневосточной государственной научной библиотеки;58;98;95;59;37;71;74;93;84;35
30;70358;Вестник Евразийского национального университета имени Л.Н. Гумилева. Серия Математика. Информатика. Механика;;;;;;;;;;
31;26407;Вестник Казахского национального университета. Серия информационная;;;;;;;;;;
32;28232;Вестник Московского городского педагогического университета. Серия: Информатика и информатизация образования;38;35;36;57;54;55;52;52;45;47
33;32485;Вестник Московского государственного университета приборостроения и информатики. Серия: Приборостроение и информационные технологии;35;36;32;26;;;;;;
34;54228;Вестник национальной библиотеки Республики Саха (Якутия);12;4;5;14;7;8;13;12;12;6
35;11926;Вестник Новосибирского государственного университета. Серия: Информационные технологии;34;47;38;45;34;35;35;49;40;29
36;28556;Вестник Пермского государственного института искусства и культуры;;;;;;;;;;
37;28484;Вестник Пермского университета. Математика. Механика. Информатика;105;64;74;60;57;60;54;62;53;51
38;32188;Вестник Пермского университета. Серия: Информационные системы и технологии;34;;14;;;;;15;15;
39;38966;Вестник Полоцкого государственного университета. Серия С. Фундаментальные науки;30;34;36;36;34;38;27;41;38;28
40;55591;Вестник РГГУ. Серия: Документоведение и архивоведение. Информатика. Защита информации и информационная безопасность;36;18;27;46;51;51;53;;41;40
41;71109;Вестник РГГУ. Серия: Информатика. Информационная безопасность. Математика;;;;;;;;9;24;22
42;10570;Вестник Санкт-Петербургского университета. Прикладная математика. Информатика. Процессы управления;47;47;56;59;47;41;36;34;48;37
43;73779;Вестник современных цифровых технологий;;;;;;;;;;
44;66677;Вестник студенческой науки кафедры информационных систем и программирования;;;;;;;;;;
45;26633;Вестник Томского государственного университета. Управление, вычислительная техника и информатика;47;55;62;40;38;38;40;39;50;56
46;53705;Вестник Тюменского государственного университета. Физико-математическое моделирование. Нефть, газ, энергетика;31;32;28;32;70;39;39;50;49;39
47;74479;Вестник Хакасского государственного университета им. Н.Ф. Катанова. Серия 1: Математика. Информатика;;;;;;;;;;
48;73842;Вестник цифровой экономики;;;;;;;;;;
49;68361;Вісник Львівського державного університету безпеки життєдіяльності;;;;;;1;;1;;
50;48921;Вісник Одеського національного університету. Серія: Бібліотекознавство, бібліографознавство, книгознавство;18;22;13;26;21;13;42;11;;
51;8610;Вычислительные технологии;60;50;50;49;44;60;54;50;52;51
52;8517;Геоинформатика;37;35;36;32;32;30;28;37;27;27
53;54692;Геоінформатика;38;35;36;32;32;35;16;;;
54;51136;Геоматика;52;49;41;37;34;2;;;;
55;8620;ГИС-Обозрение;;;;;;;;;;
56;9521;Гуманитарная информатика;;11;13;10;13;21;24;16;8;
57;77073;Дидактика математики: проблеми і дослідження;53;37;65;16;14;23;32;23;28;24
58;69401;Доклады Международной конференции 'Математическая биология и биоинформатика';;;;;;;;;;
59;71077;Доклады Российской академии наук. Математика, информатика, процессы управления;;;;;;;;;;135
60;64250;Журнал Белорусского государственного университета. Математика. Информатика;;;;;;;30;29;29;28
61;26452;Известия Института математики и информатики Удмуртского государственного университета;;76;6;4;32;12;15;14;21;20
62;57290;Известия Кыргызской академии образования;53;;52;128;158;85;59;46;63;114
63;32947;Инновации на основе информационных и коммуникационных технологий;;;;;1;;;;;
64;61204;ИнтерКарто. ИнтерГИС;;2;36;;95;89;93;89;72;154
65;67785;Инфоком;;;;;;;;;;
66;77953;Информатизация в цифровой экономике;;;;;;;;;;
67;28671;Информатизация образования и науки;65;63;64;65;64;64;61;62;62;58
68;64817;Информатика;7;4;58;47;42;47;42;40;38;38
69;27800;Информатика в школе;58;96;85;93;99;91;104;112;104;82
70;64870;Информатика и безопасность современного общества;;;;;;;;;;
71;67122;Информатика и вычислительная техника;;;;;;;;;;
72;26694;Информатика и ее применения;43;56;53;54;46;55;54;61;67;67
73;8739;Информатика и образование;203;242;185;206;144;126;120;101;68;67
74;32586;Информатика, вычислительная техника и инженерное образование;48;30;32;33;29;28;20;12;25;
75;67530;Информатика. Математика. Язык;;;;;;;;;;
76;69593;Информационная безопасность социотехнических систем;;;;;;;;;;
77;66763;Информационное общество: образование, наука, культура и технологии будущего;;;;;;;14;29;18;11
78;58329;Информационно-компьютерные технологии в экономике, образовании и социальной сфере;;;;;;72;80;100;71;70
79;58066;Информационные и математические технологии в науке и управлении;;;;;;69;61;63;50;49
80;9371;Информационные и социально-политические аспекты создания современных технологий;;;;;;;;;;
81;7612;Информационные процессы;32;28;28;28;33;33;28;33;35;31
82;75980;Информационные процессы, системы и технологии;;;;;;;;;;
83;8741;Информационные ресурсы России;50;54;43;45;49;52;50;46;46;56
84;75684;Информационные технологии в образовании;;;;;;;;;;86
85;74434;Информационные технологии в УИС;;;;;;;;;20;30
86;56922;Информационные технологии в управлении и экономике;;26;;;;16;36;32;29;26
87;69615;Информационные технологии и математическое моделирование в управлении сложными системами;;;;;;;;10;31;23
88;52930;Информационные технологии и математическое моделирование в экономике, технике, экологии, образовании, педагогике и торговле;;50;41;6;;;5;;4;
89;50628;Информационные технологии и управление;;;;;;;;;;
90;10276;Информационные технологии территориального управления;;;;;;;;;;
91;10277;Информационный бюллетень ГИС-Ассоциации;1;;;;;;;;;
92;68582;Информационный бюллетень РНТБ;1;;;;;;;;;
93;50574;Информация и бизнес;;;;;;;;;;
94;25786;Информация и космос;57;46;61;71;75;105;102;105;92;90
95;50566;Информация и образование: границы коммуникаций;149;234;204;171;167;105;34;121;138;
96;64617;Историческая информатика;;19;36;24;12;11;43;38;42;46
97;37732;Историческая информатика. Информационные технологии и математические методы в исторических исследованиях и образовании;;19;36;24;12;11;43;38;42;46
98;66019;ИТ Арктика;;;1;;1;25;25;24;;
99;64109;ИТНОУ: Информационные технологии в науке, образовании и управлении;;;;;;;51;94;64;21
100;68193;Інформаційні технології в економіці та природокористуванні;;;;;;;1;;;
101;34196;Кибернетика и программирование;;11;30;34;38;55;45;52;27;5
102;66764;Компьютерная лингвистика и вычислительные онтологии;;;;;;;17;14;14;11
103;74700;Кубань: проблемы культуры и информатизации;;;;;;;;;;
104;62360;Культура & инновации: Интернет-журнал МГПУ;;;;;;;;;;
105;9805;Магия ПК;;;;;;;;;;
106;52032;Материалы международного научно-образовательного форума Бургас;;91;71;71;156;149;146;117;152;139
107;31960;Медицинские библиотеки России;;;;;;;;;;
108;28172;Международный форум по информации;12;17;18;15;18;13;15;14;12;12
109;9947;Межотраслевая информационная служба;28;34;42;44;43;10;;;;
110;74445;Механизация и автоматизация управления;;;;;;;;;;
111;29018;Механика, управление и информатика (см. в книгах);81;110;51;63;81;;;;;
112;25794;Моделирование и анализ информационных систем;47;73;73;66;56;66;57;54;27;32
113;74918;Молодежная научная школа кафедры 'Защищенные системы связи';;;;;;;;;;
114;54266;Молодежный вестник Санкт-Петербургского государственного университета культуры и искусств;;51;53;51;50;102;104;98;99;101
115;57763;Морские информационно-управляющие системы;;;1;1;1;;;;;1
116;69388;Наука и научная информация;;;;;;;;6;20;15
117;38110;Науковi працi Донецького нацiонального технiчного унiверситету. Серiя: Iнформатика, кiбернетика та обчислювальна технiка;;;19;;;;;1;2;
118;57426;Наукові праці Національної бібліотеки України імені В. І. Вернадського;;2;21;1;;1;;;;1
119;59424;Научное обозрение. Технические науки;;;;3;1;76;32;40;49;57
120;8910;Научно-техническая информация. Серия 1: Организация и методика информационной работы;61;54;65;61;70;64;61;66;52;57
121;9678;Научно-техническая информация. Серия 2: Информационные процессы и системы;43;43;49;48;47;54;52;52;50;49
122;55376;Научные ведомости Белгородского государственного университета. Серия: Экономика. Информатика;124;129;121;107;102;95;87;80;76;77
123;8915;Научные и технические библиотеки;130;102;114;102;105;122;121;101;101;103
124;26320;Научные и технические библиотеки СССР;130;102;114;102;105;122;121;101;101;103
125;68214;Научный сервис в сети Интернет;;;;;;;;49;59;44
126;68212;Новые информационные технологии в образовании и науке;;;;;;;;26;30;21
127;61047;Обзор.НЦПТИ;;5;9;6;23;15;20;30;32;24
128;52022;Облачный журнал о науке и технологиях;;;;;;;;;;
129;50211;Образовательные ресурсы и технологии;;13;27;150;71;137;57;52;50;48
130;75616;Педагогика информатики;;;;;;;;;;18
131;10536;Перспективные информационные технологии и интеллектуальные системы;;;;;;;;;;
132;25599;Прикладная информатика;85;89;76;76;67;63;70;71;67;56
133;26490;Проблемы информатизации;;;;;;;;;;
134;58310;Проблемы искусственного интеллекта;;;;;12;16;27;30;28;35
135;7960;Проблемы передачи информации;30;33;31;28;35;30;32;27;24;25
136;69707;Проблемы правовой и технической защиты информации;;;;;;;;29;19;22
137;9009;Проблемы теории и практики управления;165;151;191;200;192;180;170;169;136;150
138;7964;Проблемы управления;62;61;58;61;56;52;53;53;50;48
139;34190;Программные системы и вычислительные методы;;11;45;38;33;33;29;42;36;23
140;68215;Проектирование будущего. Проблемы цифровой реальности;;;;;;;;26;25;23
141;28952;Пространственные данные: в информационных, кадастровых и геоинформационных системах;;;;;;;;;;
142;53121;Процессы управления и устойчивость;;;;89;123;136;128;93;93;84
143;73752;Реєстрація, зберігання і обробка даних;;;;;;;;;1;
144;79408;Российский журнал телемедицины и электронного здравоохранения;;;;;12;9;29;16;6;21
145;71037;Системная инженерия и информационные технологии;;;;;;;;;20;20
146;33427;Системная информатика;;;12;6;8;12;22;9;10;13
147;9112;Системотехника: Системные проблемы надежности, качества и информационных технологий;;;;;;;;;;
148;70127;Системы управления бизнес-процессами;;;;1;;;;;;
149;76421;Современные информационно-коммуникационные технологии;;;;;;;;;;
150;52785;Современные информационные технологии и ИТ-образование;124;126;102;107;198;161;105;104;103;74
151;67317;Современные экономические и информационные технологии;;;;;;;;;;
152;60239;Статистика и Экономика;263;304;256;299;240;91;61;50;50;46
153;74865;Сучасні інформаційні технології у сфері безпеки та оборони;;;;;;;;;1;1
154;2452;Теория и практика общественно-научной информации;13;;9;27;;;;;;
155;52939;Терра;1;;;;;;;;;
156;67216;Ученые записки Института управления, бизнеса и права. Серия: Информационные технологии и управление;;26;;;;;;;;
157;69525;Ученые записки УлГУ. Серия: Математика и информационные технологии;;;;;;;15;29;30;30
158;69280;Цифровая экономика;;;;;;;;41;42;40
159;76056;Цифровизация;;;;;;;;;;
160;64735;Экология. Экономика. Информатика. Серия: Системный анализ и моделирование экономических и экологических систем;;;;;;81;55;61;53;49
161;70051;Экономика и менеджмент в условиях цифровых перемен;;;;;;;;;;
162;28212;Экономика, статистика и информатика. Вестник УМО;263;304;256;299;240;91;61;50;50;46
163;74841;Экономика. Информатика;124;129;121;107;102;95;87;80;76;77
164;9991;Экспресс-информация. Картография и географические информационные системы;;;;;;;;;;
165;1829;Электронные библиотеки;3;1;2;7;22;28;35;34;72;87
166;9666;Электронные ресурсы в библиотеках;;;;;;;;;;
